English,Spanish
part,parte
history,historia
search,buscar
only,solo
police,policía
thought,pensamiento
help,ayuda
request,pedido
kind,amable
month,mes
brother,hermano
let,dejar
because,porque
to put,poner
no,No
leash,correa
them,a ellos
city,ciudad
each,cada
speak,hablar
come,venir
should,debería
baby,bebé
long time,mucho tiempo
hours,horas
will,voluntad
while,mientras
meet again,encontrarnos de nuevo
any,cualquier
square,cuadrado
speak,hablar
understood,comprendido
knew,sabía
were,eran
Warning,Advertencia
here is,aquí está
could,podría
case,caso
give,dar
type,tipo
their,su
given,dado
train,tren
body,cuerpo
place,lugar
eyes,ojos
way,forma
listen,escuchar
whose,cuyo
find,encontrar
first,primero
lost,perdido
hand,mano
first,primero
side,lado
power,fuerza
old,viejo
be,ser
here,aquí
morning,mañana
so much,mucho
child,niño
point,punto
came,vino
after,después
sorry,Lo siento
come,venir
in front of,delante de
towards,hacia
minutes,minutos
request,pedido
bedroom,dormitorio
placed,metido
beautiful,hermoso
law,ley
would like to,quisiera
today,hoy
husband,marido
cause,causa
finally,finalmente
hope,esperanza
water,agua
Wait,Esperar
left,izquierda
new,nuevo
job,trabajo
Stop,Detener
would say,diría
Earth,Tierra
account,cuenta
given,dado
far,lejos
end,fin
believe,creer
sweetheart,cariño
large,grande
rather,bastante
will have,tendrá
girls,chicas
to play,jugar
office,oficina